iter	Passed	Remaining
1471	49552	942
1472	49586	908
1473	49618	875
1474	49651	841
1475	49684	807
1476	49716	774
1477	49752	740
1478	49786	706
1479	49820	673
1480	49855	639
1481	49892	605
1482	49925	572
1483	49959	538
1484	49994	504
1485	50026	471
1486	50060	437
1487	50092	403
1488	50124	370
1489	50157	336
1490	50190	302
1491	50224	269
1492	50257	235
1493	50291	201
1494	50324	168
1495	50362	134
1496	50396	100
1497	50430	67
1498	50476	33
1499	50509	0
